InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536368,22633,HAND WARMER UNION JACK,3,2010-12-25 09:09:00,1.95,17486,United Kingdom
536368,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,2010-12-25 09:09:00,5.27,17486,United Kingdom
536368,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-25 09:09:00,10.1,17486,United Kingdom
536368,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-25 09:09:00,4.66,17486,United Kingdom
536368,22356,CHARLOTTE BAG SUKI DESIGN,12,2010-12-25 09:09:00,1.79,17486,United Kingdom
536368,21754,HOME BUILDING BLOCK WORD,3,2010-12-25 09:09:00,6.4,17486,United Kingdom
536368,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-25 09:09:00,2.04,17486,United Kingdom
536368,22196,SMALL HEART MEASURING SPOONS,24,2010-12-25 09:09:00,0.93,17486,United Kingdom
536368,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-25 09:09:00,2.65,17486,United Kingdom
536368,22633,HAND WARMER UNION JACK,12,2010-12-25 09:09:00,2.02,17486,United Kingdom
536369,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-04-02 08:15:00,8.11,16993,Netherlands
536369,22196,SMALL HEART MEASURING SPOONS,1,2011-04-02 08:15:00,0.91,16993,Netherlands
536369,23203,JUMBO BAG BAROQUE BLACK WHITE,1,2011-04-02 08:15:00,2.13,16993,Netherlands
536369,22195,LARGE HEART MEASURING SPOONS,2,2011-04-02 08:15:00,1.35,16993,Netherlands
536369,22748,POPPY'S PLAYHOUSE KITCHEN,6,2011-04-02 08:15:00,2.29,16993,Netherlands
536370,22195,LARGE HEART MEASURING SPOONS,1,2011-05-09 14:42:00,1.27,17669,United Kingdom
536370,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-05-09 14:42:00,3.39,17669,United Kingdom
536370,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-05-09 14:42:00,3.89,17669,United Kingdom
536370,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-05-09 14:42:00,3.34,17669,United Kingdom
536370,21777,RECIPE BOX WITH METAL HEART,1,2011-05-09 14:42:00,7.64,17669,United Kingdom
536370,85116,BLACK CANDELABRA T-LIGHT HOLDER,1,2011-05-09 14:42:00,2.06,17669,United Kingdom
536370,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2011-05-09 14:42:00,3.06,17669,United Kingdom
536370,23203,JUMBO BAG BAROQUE BLACK WHITE,1,2011-05-09 14:42:00,2.09,17669,United Kingdom
536370,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-05-09 14:42:00,4.46,17669,United Kingdom
536370,22616,SET OF 6 WOODLAND PAPER CUPS,4,2011-05-09 14:42:00,3.44,17669,United Kingdom
536370,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-05-09 14:42:00,4.08,17669,United Kingdom
536370,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-05-09 14:42:00,4.2,17669,United Kingdom
536371,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-03-04 12:29:00,3.45,14392,France
536371,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2011-03-04 12:29:00,2.85,14392,France
536371,22196,SMALL HEART MEASURING SPOONS,24,2011-03-04 12:29:00,0.91,14392,France
536371,22310,IVORY KNITTED MUG COSY,2,2011-03-04 12:29:00,1.61,14392,France
536371,22748,POPPY'S PLAYHOUSE KITCHEN,12,2011-03-04 12:29:00,2.27,14392,France
536371,47566,PARTY BUNTING,48,2011-03-04 12:29:00,4.98,14392,France
536371,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2011-03-04 12:29:00,4.63,14392,France
536372,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-09-11 15:09:00,3.52,13901,United Kingdom
536372,21755,LOVE BUILDING BLOCK WORD,3,2011-09-11 15:09:00,5.7,13901,United Kingdom
536372,22356,CHARLOTTE BAG SUKI DESIGN,3,2011-09-11 15:09:00,1.8,13901,United Kingdom
536372,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-09-11 15:09:00,3.71,13901,United Kingdom
536372,85099B,JUMBO BAG RED RETROSPOT,1,2011-09-11 15:09:00,1.87,13901,United Kingdom
536372,22310,IVORY KNITTED MUG COSY,24,2011-09-11 15:09:00,1.67,13901,United Kingdom
536372,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3,2011-09-11 15:09:00,2.91,13901,United Kingdom
536372,47566B,TEA TIME PARTY BUNTING,4,2011-09-11 15:09:00,4.76,13901,United Kingdom
536372,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-09-11 15:09:00,3.03,13901,United Kingdom
536372,22748,POPPY'S PLAYHOUSE KITCHEN,2,2011-09-11 15:09:00,2.21,13901,United Kingdom
536372,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4,2011-09-11 15:09:00,4.29,13901,United Kingdom
536372,21754,HOME BUILDING BLOCK WORD,24,2011-09-11 15:09:00,6.06,13901,United Kingdom
536373,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-07-23 17:36:00,2.15,13165,United Kingdom
536374,22196,SMALL HEART MEASURING SPOONS,3,2011-04-05 13:18:00,0.9,13638,United Kingdom
536374,22195,LARGE HEART MEASURING SPOONS,6,2011-04-05 13:18:00,1.19,13638,United Kingdom
536375,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-01-23 10:16:00,2.87,13291,France
536375,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-01-23 10:16:00,2.22,13291,France
536375,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-01-23 10:16:00,4.36,13291,France
536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-01-23 10:16:00,3.27,13291,France
536375,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,2011-01-23 10:16:00,4.74,13291,France
536375,22632,HAND WARMER RED POLKA DOT,1,2011-01-23 10:16:00,1.93,13291,France
536375,23199,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2011-01-23 10:16:00,2.01,13291,France
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2011-01-23 10:16:00,2.47,13291,France
536375,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-01-23 10:16:00,1.74,13291,France
536375,21212,PACK OF 72 SKULL CAKE CASES,2,2011-01-23 10:16:00,3.05,13291,France
536375,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-01-23 10:16:00,2.74,13291,France
536376,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2010-12-21 13:13:00,4.26,17933,United Kingdom
536376,22616,SET OF 6 WOODLAND PAPER CUPS,4,2010-12-21 13:13:00,3.69,17933,United Kingdom
536376,22310,IVORY KNITTED MUG COSY,48,2010-12-21 13:13:00,1.78,17933,United Kingdom
536376,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-21 13:13:00,2.11,17933,United Kingdom
536376,21777,RECIPE BOX WITH METAL HEART,2,2010-12-21 13:13:00,8.49,17933,United Kingdom
536376,22310,IVORY KNITTED MUG COSY,6,2010-12-21 13:13:00,1.63,17933,United Kingdom
536376,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2010-12-21 13:13:00,4.28,17933,United Kingdom
536376,23203,JUMBO BAG BAROQUE BLACK WHITE,6,2010-12-21 13:13:00,1.92,17933,United Kingdom
536376,23200,JUMBO BAG VINTAGE RED PAISLEY,6,2010-12-21 13:13:00,1.95,17933,United Kingdom
536376,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2010-12-21 13:13:00,3.69,17933,United Kingdom
536376,22615,SET OF 6 WOODLAND PAPER PLATES,12,2010-12-21 13:13:00,3.37,17933,United Kingdom
536376,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-21 13:13:00,4.96,17933,United Kingdom
536376,22196,SMALL HEART MEASURING SPOONS,1,2010-12-21 13:13:00,0.85,17933,United Kingdom
536376,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,24,2010-12-21 13:13:00,4.15,17933,United Kingdom
536377,22356,CHARLOTTE BAG SUKI DESIGN,12,2011-10-02 14:22:00,1.6,14915,United Kingdom
536377,22745,POPPY'S PLAYHOUSE BEDROOM,4,2011-10-02 14:22:00,2.08,14915,United Kingdom
536379,21777,RECIPE BOX WITH METAL HEART,4,2011-09-02 11:23:00,8.3,15879,United Kingdom
536379,22633,HAND WARMER UNION JACK,2,2011-09-02 11:23:00,1.96,15879,United Kingdom
536379,21754,HOME BUILDING BLOCK WORD,2,2011-09-02 11:23:00,6.25,15879,United Kingdom
536379,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,2011-09-02 11:23:00,10.28,15879,United Kingdom
536379,22112,CHOCOLATE HOT WATER BOTTLE,12,2011-09-02 11:23:00,7.1,15879,United Kingdom
536379,47566B,TEA TIME PARTY BUNTING,2,2011-09-02 11:23:00,5.13,15879,United Kingdom
536379,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-09-02 11:23:00,2.54,15879,United Kingdom
536379,21212,PACK OF 72 SKULL CAKE CASES,2,2011-09-02 11:23:00,3.07,15879,United Kingdom
536379,23199,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-09-02 11:23:00,1.98,15879,United Kingdom
536379,23203,JUMBO BAG BAROQUE BLACK WHITE,24,2011-09-02 11:23:00,2.08,15879,United Kingdom
536379,47566,PARTY BUNTING,1,2011-09-02 11:23:00,5.19,15879,United Kingdom
536379,47566B,TEA TIME PARTY BUNTING,6,2011-09-02 11:23:00,4.95,15879,United Kingdom
536379,22310,IVORY KNITTED MUG COSY,1,2011-09-02 11:23:00,1.73,15879,United Kingdom
536379,22745,POPPY'S PLAYHOUSE BEDROOM,1,2011-09-02 11:23:00,2.04,15879,United Kingdom
536379,23203,JUMBO BAG BAROQUE BLACK WHITE,6,2011-09-02 11:23:00,2.03,15879,United Kingdom
536380,85116,BLACK CANDELABRA T-LIGHT HOLDER,1,2011-10-19 17:12:00,2.12,18230,United Kingdom
536380,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-10-19 17:12:00,2.76,18230,United Kingdom
536380,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-10-19 17:12:00,4.53,18230,United Kingdom
536380,22195,LARGE HEART MEASURING SPOONS,3,2011-10-19 17:12:00,1.27,18230,United Kingdom
536380,22633,HAND WARMER UNION JACK,6,2011-10-19 17:12:00,1.88,18230,United Kingdom
536380,22195,LARGE HEART MEASURING SPOONS,3,2011-10-19 17:12:00,1.37,18230,United Kingdom
536380,23199,JUMBO SHOPPER VINTAGE RED PAISLEY,4,2011-10-19 17:12:00,2.03,18230,United Kingdom
536380,22356,CHARLOTTE BAG SUKI DESIGN,12,2011-10-19 17:12:00,1.67,18230,United Kingdom
536380,23199,JUMBO SHOPPER VINTAGE RED PAISLEY,4,2011-10-19 17:12:00,2.11,18230,United Kingdom
536380,23203,JUMBO BAG BAROQUE BLACK WHITE,6,2011-10-19 17:12:00,1.98,18230,United Kingdom
536380,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2011-10-19 17:12:00,5.27,18230,United Kingdom
536380,22310,IVORY KNITTED MUG COSY,1,2011-10-19 17:12:00,1.64,18230,United Kingdom
536380,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-10-19 17:12:00,9.8,18230,United Kingdom
536380,22196,SMALL HEART MEASURING SPOONS,1,2011-10-19 17:12:00,0.82,18230,United Kingdom
536380,22112,CHOCOLATE HOT WATER BOTTLE,4,2011-10-19 17:12:00,7.12,18230,United Kingdom
536381,22616,SET OF 6 WOODLAND PAPER CUPS,6,2011-05-19 16:29:00,3.4,15752,United Kingdom
536381,71053,WHITE METAL LANTERN,6,2011-05-19 16:29:00,3.66,15752,United Kingdom
536381,22112,CHOCOLATE HOT WATER BOTTLE,24,2011-05-19 16:29:00,6.9,15752,United Kingdom
536381,21754,HOME BUILDING BLOCK WORD,12,2011-05-19 16:29:00,6.32,15752,United Kingdom
536381,22616,SET OF 6 WOODLAND PAPER CUPS,4,2011-05-19 16:29:00,3.47,15752,United Kingdom
536381,22423,REGENCY CAKESTAND 3 TIER,2,2011-05-19 16:29:00,13.83,15752,United Kingdom
536381,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,2011-05-19 16:29:00,5.03,15752,United Kingdom
536382,47566B,TEA TIME PARTY BUNTING,12,2011-06-26 10:53:00,5.1,16174,EIRE
536382,21212,PACK OF 72 SKULL CAKE CASES,1,2011-06-26 10:53:00,3.05,16174,EIRE
536382,22617,SET OF 6 WOODLAND NAPKINS,2,2011-06-26 10:53:00,3.27,16174,EIRE
536382,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-06-26 10:53:00,3.35,16174,EIRE
536382,23200,JUMBO BAG VINTAGE RED PAISLEY,6,2011-06-26 10:53:00,1.95,16174,EIRE
536382,22112,CHOCOLATE HOT WATER BOTTLE,24,2011-06-26 10:53:00,6.69,16174,EIRE
536382,22616,SET OF 6 WOODLAND PAPER CUPS,1,2011-06-26 10:53:00,3.33,16174,EIRE
536382,71053,WHITE METAL LANTERN,1,2011-06-26 10:53:00,3.6,16174,EIRE
536382,48187,DOORMAT FAIRY CAKE,1,2011-06-26 10:53:00,6.96,16174,EIRE
536382,84406B,CREAM CUPID HEARTS COAT HANGER,24,2011-06-26 10:53:00,2.92,16174,EIRE
536382,22745,POPPY'S PLAYHOUSE BEDROOM,3,2011-06-26 10:53:00,2.26,16174,EIRE
536383,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-11-08 09:36:00,4.53,14131,United Kingdom
536383,22423,REGENCY CAKESTAND 3 TIER,4,2011-11-08 09:36:00,13.96,14131,United Kingdom
536383,47566,PARTY BUNTING,1,2011-11-08 09:36:00,5.42,14131,United Kingdom
536383,71053,WHITE METAL LANTERN,3,2011-11-08 09:36:00,3.69,14131,United Kingdom
536383,22112,CHOCOLATE HOT WATER BOTTLE,4,2011-11-08 09:36:00,6.81,14131,United Kingdom
536383,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-11-08 09:36:00,3.52,14131,United Kingdom
536383,22310,IVORY KNITTED MUG COSY,6,2011-11-08 09:36:00,1.59,14131,United Kingdom
536383,22423,REGENCY CAKESTAND 3 TIER,6,2011-11-08 09:36:00,13.65,14131,United Kingdom
536384,22356,CHARLOTTE BAG SUKI DESIGN,1,2011-05-27 16:27:00,1.73,17765,United Kingdom
536385,23200,JUMBO BAG VINTAGE RED PAISLEY,2,2011-01-24 14:23:00,2.06,17552,France
536385,22195,LARGE HEART MEASURING SPOONS,1,2011-01-24 14:23:00,1.37,17552,France
536385,22196,SMALL HEART MEASURING SPOONS,2,2011-01-24 14:23:00,0.91,17552,France
536385,21212,PACK OF 72 SKULL CAKE CASES,12,2011-01-24 14:23:00,2.92,17552,France
536385,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-01-24 14:23:00,7.59,17552,France
536385,23200,JUMBO BAG VINTAGE RED PAISLEY,4,2011-01-24 14:23:00,2.02,17552,France
536385,21777,RECIPE BOX WITH METAL HEART,12,2011-01-24 14:23:00,7.59,17552,France
536385,85099B,JUMBO BAG RED RETROSPOT,2,2011-01-24 14:23:00,2.0,17552,France
536386,22745,POPPY'S PLAYHOUSE BEDROOM,4,2011-10-02 12:35:00,2.02,12429,United Kingdom
536386,85116,BLACK CANDELABRA T-LIGHT HOLDER,1,2011-10-02 12:35:00,2.17,12429,United Kingdom
536386,23203,JUMBO BAG BAROQUE BLACK WHITE,2,2011-10-02 12:35:00,2.04,12429,United Kingdom
536386,71053,WHITE METAL LANTERN,1,2011-10-02 12:35:00,3.27,12429,United Kingdom
536386,22310,IVORY KNITTED MUG COSY,3,2011-10-02 12:35:00,1.64,12429,United Kingdom
536387,23200,JUMBO BAG VINTAGE RED PAISLEY,1,2011-05-26 14:47:00,1.93,16854,United Kingdom
536387,22633,HAND WARMER UNION JACK,2,2011-05-26 14:47:00,1.96,16854,United Kingdom
536387,22196,SMALL HEART MEASURING SPOONS,4,2011-05-26 14:47:00,0.93,16854,United Kingdom
536387,22745,POPPY'S PLAYHOUSE BEDROOM,2,2011-05-26 14:47:00,2.06,16854,United Kingdom
536387,21212,PACK OF 72 SKULL CAKE CASES,3,2011-05-26 14:47:00,3.23,16854,United Kingdom
536387,22622,BOX OF VINTAGE ALPHABET BLOCKS,6,2011-05-26 14:47:00,10.92,16854,United Kingdom
536387,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,2011-05-26 14:47:00,9.79,16854,United Kingdom
536387,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-05-26 14:47:00,2.69,16854,United Kingdom
536387,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-05-26 14:47:00,3.01,16854,United Kingdom
536388,23203,JUMBO BAG BAROQUE BLACK WHITE,2,2011-10-23 15:06:00,1.99,12446,United Kingdom
536388,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-10-23 15:06:00,3.35,12446,United Kingdom
536388,22633,HAND WARMER UNION JACK,2,2011-10-23 15:06:00,1.99,12446,United Kingdom
536389,21754,HOME BUILDING BLOCK WORD,1,2011-11-17 08:09:00,5.73,13568,United Kingdom
536389,21212,PACK OF 72 RETROSPOT CAKE CASES,3,2011-11-17 08:09:00,3.14,13568,United Kingdom
536389,47566B,TEA TIME PARTY BUNTING,3,2011-11-17 08:09:00,4.87,13568,United Kingdom
536389,23199,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-11-17 08:09:00,2.12,13568,United Kingdom
536389,21212,PACK OF 72 SKULL CAKE CASES,2,2011-11-17 08:09:00,3.24,13568,United Kingdom
536389,47566B,TEA TIME PARTY BUNTING,24,2011-11-17 08:09:00,4.75,13568,United Kingdom
536389,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-11-17 08:09:00,4.64,13568,United Kingdom
536389,22748,POPPY'S PLAYHOUSE KITCHEN,1,2011-11-17 08:09:00,2.08,13568,United Kingdom
536389,22310,IVORY KNITTED MUG COSY,1,2011-11-17 08:09:00,1.61,13568,United Kingdom
536389,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-11-17 08:09:00,2.58,13568,United Kingdom
536389,23203,JUMBO BAG BAROQUE BLACK WHITE,1,2011-11-17 08:09:00,1.94,13568,United Kingdom
536390,21212,PACK OF 72 SKULL CAKE CASES,24,2011-07-21 09:43:00,3.1,14258,EIRE
536390,22617,SET OF 6 WOODLAND NAPKINS,1,2011-07-21 09:43:00,3.26,14258,EIRE
536390,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-07-21 09:43:00,1.84,14258,EIRE
536390,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-07-21 09:43:00,3.25,14258,EIRE
536390,22423,REGENCY CAKESTAND 3 TIER,3,2011-07-21 09:43:00,13.54,14258,EIRE
536390,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-07-21 09:43:00,10.11,14258,EIRE
536390,21754,HOME BUILDING BLOCK WORD,24,2011-07-21 09:43:00,6.28,14258,EIRE
536390,22356,CHARLOTTE BAG SUKI DESIGN,2,2011-07-21 09:43:00,1.7,14258,EIRE
536390,22423,REGENCY CAKESTAND 3 TIER,2,2011-07-21 09:43:00,12.19,14258,EIRE
536390,21755,LOVE BUILDING BLOCK WORD,1,2011-07-21 09:43:00,6.19,14258,EIRE
536390,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,6,2011-07-21 09:43:00,4.1,14258,EIRE
536390,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2011-07-21 09:43:00,3.06,14258,EIRE
536391,23199,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-04-17 17:02:00,2.12,13781,United Kingdom
536391,21212,PACK OF 72 SKULL CAKE CASES,6,2011-04-17 17:02:00,3.0,13781,United Kingdom
536391,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-04-17 17:02:00,7.81,13781,United Kingdom
536391,21755,LOVE BUILDING BLOCK WORD,12,2011-04-17 17:02:00,6.25,13781,United Kingdom
536391,21777,RECIPE BOX WITH METAL HEART,2,2011-04-17 17:02:00,8.04,13781,United Kingdom
536391,22615,SET OF 6 WOODLAND PAPER PLATES,3,2011-04-17 17:02:00,3.61,13781,United Kingdom
536391,23200,JUMBO BAG VINTAGE RED PAISLEY,1,2011-04-17 17:02:00,1.88,13781,United Kingdom
536391,22633,HAND WARMER UNION JACK,2,2011-04-17 17:02:00,2.03,13781,United Kingdom
536391,22356,CHARLOTTE BAG SUKI DESIGN,1,2011-04-17 17:02:00,1.77,13781,United Kingdom
536391,22196,SMALL HEART MEASURING SPOONS,1,2011-04-17 17:02:00,0.87,13781,United Kingdom
536391,22195,LARGE HEART MEASURING SPOONS,6,2011-04-17 17:02:00,1.26,13781,United Kingdom
536391,23199,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2011-04-17 17:02:00,2.07,13781,United Kingdom
536391,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-04-17 17:02:00,2.86,13781,United Kingdom
536391,85116,BLACK CANDELABRA T-LIGHT HOLDER,48,2011-04-17 17:02:00,2.03,13781,United Kingdom
536392,22616,SET OF 6 WOODLAND PAPER CUPS,48,2011-11-29 10:19:00,3.25,16858,United Kingdom
536392,22633,HAND WARMER UNION JACK,1,2011-11-29 10:19:00,1.89,16858,United Kingdom
536392,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2011-11-29 10:19:00,1.73,16858,United Kingdom
536392,22356,CHARLOTTE BAG SUKI DESIGN,2,2011-11-29 10:19:00,1.74,16858,United Kingdom
536393,22423,REGENCY CAKESTAND 3 TIER,12,2011-04-04 15:35:00,13.08,13530,United Kingdom
536393,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-04-04 15:35:00,3.36,13530,United Kingdom
536393,22616,SET OF 6 WOODLAND PAPER CUPS,6,2011-04-04 15:35:00,3.37,13530,United Kingdom
536393,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,2011-04-04 15:35:00,5.31,13530,United Kingdom
536393,21754,HOME BUILDING BLOCK WORD,3,2011-04-04 15:35:00,6.4,13530,United Kingdom
536393,85116,BLACK CANDELABRA T-LIGHT HOLDER,2,2011-04-04 15:35:00,2.27,13530,United Kingdom
536393,23203,JUMBO BAG BAROQUE BLACK WHITE,3,2011-04-04 15:35:00,1.95,13530,United Kingdom
536393,22196,SMALL HEART MEASURING SPOONS,24,2011-04-04 15:35:00,0.86,13530,United Kingdom
536394,22616,SET OF 6 WOODLAND PAPER CUPS,4,2011-04-02 17:24:00,3.22,14259,Germany
536394,22112,CHOCOLATE HOT WATER BOTTLE,4,2011-04-02 17:24:00,6.8,14259,Germany
536394,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-04-02 17:24:00,1.73,14259,Germany
536394,22356,CHARLOTTE BAG SUKI DESIGN,2,2011-04-02 17:24:00,1.81,14259,Germany
536394,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-04-02 17:24:00,4.59,14259,Germany
536394,22195,LARGE HEART MEASURING SPOONS,1,2011-04-02 17:24:00,1.36,14259,Germany
536394,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2011-04-02 17:24:00,1.71,14259,Germany
536394,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-04-02 17:24:00,1.62,14259,Germany
536394,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4,2011-04-02 17:24:00,4.25,14259,Germany
536394,22752,SET 7 BABUSHKA NESTING BOXES,12,2011-04-02 17:24:00,8.24,14259,Germany
536394,22196,SMALL HEART MEASURING SPOONS,2,2011-04-02 17:24:00,0.86,14259,Germany
536394,85116,BLACK CANDELABRA T-LIGHT HOLDER,1,2011-04-02 17:24:00,2.27,14259,Germany
536395,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-11-16 12:14:00,4.52,13086,United Kingdom
536395,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-11-16 12:14:00,4.32,13086,United Kingdom
536395,71053,WHITE METAL LANTERN,6,2011-11-16 12:14:00,3.24,13086,United Kingdom
536395,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-11-16 12:14:00,9.99,13086,United Kingdom
536395,22310,IVORY KNITTED MUG COSY,3,2011-11-16 12:14:00,1.7,13086,United Kingdom
